,Cluster1,Cluster2,Cluster3,Cluster4
celsius-degree-token,0.25,0.27,0.28,0.2
theta-token,0.36,0.28,0.16,0.2
dash,0.47,0.23,0.12,0.18
vechain,0.34,0.22,0.24,0.21
havven,0.23,0.21,0.32,0.24
huobi-token,0.34,0.26,0.2,0.21
iota,0.46,0.21,0.14,0.19
zcash,0.48,0.23,0.14,0.15
waves,0.4,0.24,0.17,0.19
ethereum-classic,0.45,0.26,0.15,0.14
zilliqa,0.39,0.25,0.17,0.19
dogecoin,0.39,0.24,0.16,0.21
maker,0.4,0.22,0.18,0.21
decred,0.41,0.22,0.16,0.21
omisego,0.45,0.24,0.16,0.15
ontology,0.39,0.25,0.17,0.19
paxos-standard,0.4,0.18,0.15,0.27
