,0.0,1.0,2.0,3.0
celsius-degree-token,0.24,0.23,0.32,0.21
theta-token,0.42,0.19,0.23,0.16
dash,0.5,0.17,0.18,0.15
vechain,0.41,0.19,0.21,0.19
havven,0.16,0.3,0.29,0.25
huobi-token,0.41,0.17,0.21,0.21
iota,0.54,0.14,0.19,0.14
zcash,0.51,0.17,0.18,0.15
waves,0.49,0.15,0.21,0.16
ethereum-classic,0.47,0.21,0.17,0.15
zilliqa,0.44,0.17,0.25,0.13
dogecoin,0.49,0.17,0.18,0.16
maker,0.47,0.21,0.17,0.15
decred,0.5,0.19,0.16,0.15
omisego,0.51,0.16,0.2,0.12
ontology,0.46,0.18,0.2,0.16
paxos-standard,0.37,0.12,0.21,0.3
