,Stationary
bitcoin,True
ethereum,True
ripple,True
litecoin,True
bitcoin-cash,True
chainlink,True
binancecoin,True
cardano,True
stellar,True
usd-coin,True
bitcoin-cash-sv,True
eos,True
nem,True
tron,True
okb,True
tezos,True
neo,True
celsius-degree-token,True
theta-token,True
dash,True
vechain,True
havven,True
huobi-token,True
iota,True
zcash,True
waves,True
ethereum-classic,True
zilliqa,True
dogecoin,True
maker,True
decred,True
omisego,True
ontology,True
paxos-standard,True
nexo,True
basic-attention-token,True
digibyte,True
0x,True
true-usd,True
qtum,True
republic-protocol,True
swissborg,True
icon,True
loopring,True
lisk,True
kyber-network,True
quant-network,True
bitcoin-gold,True
maidsafecoin,True
vitae,True
siacoin,True
nano,True
enjincoin,True
